PLUMBING,"The kitchen faucet has been dripping constantly for the past three days and it's wasting a lot of water."
PLUMBING,"There is a leak under the bathroom sink and the cabinet floor is getting wet."
PLUMBING,"My toilet keeps running even after I jiggle the handle, it won't stop filling."
PLUMBING,"The shower drain is completely blocked and water pools up to my ankles when I bathe."
PLUMBING,"There's a strange gurgling noise coming from the kitchen sink whenever I run the dishwasher."
PLUMBING,"The hot water in my unit stopped working two days ago, only cold water comes out."
PLUMBING,"There is water pooling on the ceiling below my bathroom, I think a pipe is leaking upstairs."
PLUMBING,"The toilet in the main bathroom is clogged and won't flush no matter what I try."
PLUMBING,"I noticed a small puddle forming near the water heater in the utility closet."
PLUMBING,"The washing machine hose is leaking every time I do a load of laundry."
PLUMBING,"Low water pressure in the shower has made it almost impossible to rinse shampoo out."
PLUMBING,"There's a persistent smell of sewage coming from the guest bathroom drain."
PLUMBING,"The kitchen sink won't drain at all, water just sits there after washing dishes."
PLUMBING,"A pipe under the sink burst last night and there is water all over the kitchen floor."
PLUMBING,"The outdoor tap keeps leaking even when it's fully closed."
PLUMBING,"My dishwasher is leaking water onto the kitchen floor during the wash cycle."
PLUMBING,"There is a dripping sound behind the bathroom wall that keeps me up at night."
PLUMBING,"The toilet tank is cracked and leaking water onto the bathroom floor."
PLUMBING,"Water is backing up into the bathtub whenever the washing machine drains."
PLUMBING,"The bathroom sink tap won't turn off properly, water keeps trickling out."
PLUMBING,"There is a musty smell and visible mold near the pipe under my kitchen sink."
PLUMBING,"My unit has no water pressure at all this morning, not even a trickle."
PLUMBING,"The geyser is making loud banging noises whenever hot water is used."
PLUMBING,"There's a leak coming from the ceiling light fixture, I think it's water from upstairs plumbing."
PLUMBING,"The toilet won't stop running and my water bill has gone up significantly."
PLUMBING,"I can hear water dripping inside the wall near the bathroom but can't see where it's coming from."
PLUMBING,"The garden hose tap is broken and spraying water everywhere when turned on."
PLUMBING,"There is standing water in the shower tray that never fully drains."
PLUMBING,"My kitchen tap fell off the counter and now sprays water sideways."
PLUMBING,"The pipes make a loud banging sound whenever any tap in the unit is closed."
PLUMBING,"Sewage smell is coming up through the shower drain every morning."
PLUMBING,"The cold water tap in the kitchen is stuck and won't turn at all."
PLUMBING,"There's a slow leak from the toilet base onto the bathroom tiles."
PLUMBING,"The water heater is leaking from the bottom and pooling on the floor."
PLUMBING,"My bathtub won't drain properly after showering, water takes forever to go down."
PLUMBING,"There is a burst pipe visible outside near the unit's water meter."
PLUMBING,"The flush mechanism in the toilet is broken and I have to hold the handle down."
PLUMBING,"Water is leaking from the pipe joint under the kitchen sink cabinet."
PLUMBING,"My shower head has almost no water pressure compared to last week."
PLUMBING,"There's a constant drip from the ceiling in the hallway that smells like water damage."
PLUMBING,"The outdoor drain near my unit is overflowing after every rain."
PLUMBING,"Water is coming up through the shower drain instead of going down."
PLUMBING,"The kitchen sink sprayer hose is leaking at the connection point."
PLUMBING,"My toilet bowl fills up very slowly after flushing, something seems blocked."
PLUMBING,"There is rusty brown water coming out of the bathroom tap."
PLUMBING,"The pipe behind my washing machine has sprung a leak and soaked the wall."
PLUMBING,"I hear water running inside the walls even when no taps are open."
PLUMBING,"The bathroom floor is always damp near the toilet, I suspect a hidden leak."
PLUMBING,"My unit's main water valve seems to be leaking at the connection."
PLUMBING,"The dishwasher won't drain and leaves standing water at the bottom after each cycle."
PLUMBING,"There is condensation and dripping coming from the pipe under the bathroom vanity."
PLUMBING,"The toilet seat and bowl area has a persistent leak I can't identify the source of."
PLUMBING,"Water pressure drops to nothing whenever two taps are used at the same time."
ELECTRICAL,"The power outlet in my bedroom sparked when I plugged in my phone charger."
ELECTRICAL,"None of the lights in the living room are turning on even though the bulbs are new."
ELECTRICAL,"There's a burning smell coming from the wall socket near my desk."
ELECTRICAL,"The circuit breaker keeps tripping every time I use the microwave."
ELECTRICAL,"My bathroom light switch gives a small shock whenever I touch it."
ELECTRICAL,"Half of the outlets in my kitchen suddenly stopped working this morning."
ELECTRICAL,"The ceiling fan makes a buzzing sound and flickers when switched on."
ELECTRICAL,"There is visible scorching around the light switch in the hallway."
ELECTRICAL,"My unit lost power completely and the breaker box shows a tripped switch."
ELECTRICAL,"The extension cord outlet gets extremely hot after just a few minutes of use."
ELECTRICAL,"Lights throughout the apartment keep flickering on and off randomly."
ELECTRICAL,"There's an exposed wire hanging from the ceiling fixture in my bedroom."
ELECTRICAL,"The stove's electrical connection sparked when I turned on the front burner."
ELECTRICAL,"My smoke detector keeps beeping and I think the wiring might be faulty."
ELECTRICAL,"The wall socket in the lounge is loose and the plug keeps falling out."
ELECTRICAL,"There is a faint smell of burning plastic near the electrical panel."
ELECTRICAL,"The bathroom exhaust fan sparked and now won't turn on at all."
ELECTRICAL,"My unit's lights dim dramatically whenever the air conditioner starts up."
ELECTRICAL,"The doorbell wiring is exposed and hanging loose from the wall."
ELECTRICAL,"There's a crackling sound coming from behind the living room light switch."
ELECTRICAL,"The plug socket by my bed doesn't hold plugs in properly anymore, it's very loose."
ELECTRICAL,"My washing machine trips the breaker every single time I switch it on."
ELECTRICAL,"There is a burnt smell and slight discoloration around the kitchen outlet."
ELECTRICAL,"The light fixture in the hallway flickers violently before going completely dark."
ELECTRICAL,"I noticed sparks coming from the extension board when I plugged in my laptop."
ELECTRICAL,"The main breaker panel makes a humming noise that wasn't there before."
ELECTRICAL,"My bedroom outlet stopped working and now smells faintly like melted plastic."
ELECTRICAL,"The porch light fixture is exposed to rain and sparks whenever it gets wet."
ELECTRICAL,"There's a socket in the kitchen that feels warm to the touch even when nothing is plugged in."
ELECTRICAL,"The overhead light in my unit buzzes loudly and occasionally shuts off on its own."
ELECTRICAL,"My unit experienced a power surge last night and now two outlets don't work."
ELECTRICAL,"The wiring behind the stove appears to be exposed and touching the metal panel."
ELECTRICAL,"There is a persistent electrical hum coming from inside the wall near my TV."
ELECTRICAL,"The light switch in the bathroom cracked and now shows bare wires."
ELECTRICAL,"My unit's electricity keeps cutting out for a few seconds at random times."
ELECTRICAL,"There's a strong smell of burning near the fuse box outside my front door."
ELECTRICAL,"The kitchen light fitting is dangling loose from the ceiling with wires visible."
ELECTRICAL,"My phone charger outlet sparked and now the whole wall socket is dead."
ELECTRICAL,"The circuit for the geyser trips every time hot water is used for more than a few minutes."
ELECTRICAL,"There's an outlet cover missing and the exposed wiring is a safety concern with kids around."
ELECTRICAL,"My unit's lights flicker whenever it's windy outside, I suspect a loose connection."
ELECTRICAL,"The electrical panel door won't close properly and wires are visible inside."
ELECTRICAL,"There was a loud pop sound from the wall and then half the unit lost power."
ELECTRICAL,"My bedroom lamp socket gives off sparks whenever I try to switch the bulb."
ELECTRICAL,"The garage light circuit has stopped working completely since last week's storm."
ELECTRICAL,"There is a strange static shock every time I touch the metal light switch plate."
